prime_prefix,prime_word,prime_lex,target_prefix,target_word,target_lex,similarity
a,back,FrenchPrime,un,bac,Word,Match
the,bark,FrenchPrime,un,bac,Word,Match
some,oats,NonFrenchPrime,un,bac,Word,NoMatch
the,rave,FrenchPrime,un,bac,Word,NoMatch
a,bag,FrenchPrime,la,bague,Word,Match
the,net,FrenchPrime,la,bague,Word,NoMatch
a,plum,NonFrenchPrime,la,bague,Word,NoMatch
the,base,FrenchPrime,je me,baisse,Word,Match
a,leaf,NonFrenchPrime,je me,baisse,Word,NoMatch
a,tap,FrenchPrime,je me,baisse,Word,NoMatch
a,bomb,FrenchPrime,le,baume,Word,Match
the,goose,FrenchPrime,le,baume,Word,NoMatch
a,seed,NonFrenchPrime,le,baume,Word,NoMatch
they,beg,FrenchPrime,un,bègue,Word,Match
they,move,NonFrenchPrime,un,bègue,Word,NoMatch
a,seal,FrenchPrime,un,bègue,Word,NoMatch
a,bell,FrenchPrime,plus,belle,Word,Match
some,meat,FrenchPrime,plus,belle,Word,NoMatch
a,mitt,FrenchPrime,plus,belle,Word,NoMatch
the,nose,NonFrenchPrime,plus,belle,Word,NoMatch
they,bet,FrenchPrime,plus,bête,Word,Match
a,farm,FrenchPrime,plus,bête,Word,NoMatch
some,slack,NonFrenchPrime,plus,bête,Word,NoMatch
the,bead,FrenchPrime,le,bide,Word,Match
they,bid,FrenchPrime,le,bide,Word,Match
a,phase,NonFrenchPrime,le,bide,Word,NoMatch
the,vet,FrenchPrime,le,bide,Word,NoMatch
it's,Bill,FrenchPrime,la,bile,Word,Match
it's,blue,NonFrenchPrime,la,bile,Word,NoMatch
a,pan,FrenchPrime,la,bile,Word,NoMatch
the,boss,FrenchPrime,elle,bosse,Word,Match
a,plum,NonFrenchPrime,elle,bosse,Word,NoMatch
it's,Tom,FrenchPrime,elle,bosse,Word,NoMatch
a,boat,FrenchPrime,la,botte,Word,Match
they,bought,FrenchPrime,la,botte,Word,Match
it's,mean,FrenchPrime,la,botte,Word,NoMatch
the,pledge,NonFrenchPrime,la,botte,Word,NoMatch
some,cash,FrenchPrime,je,cache,Word,Match
the,folk,FrenchPrime,je,cache,Word,NoMatch
a,force,FrenchPrime,il,chipe,Word,NoMatch
the,last,NonFrenchPrime,il,chipe,Word,NoMatch
the,sheep,FrenchPrime,il,chipe,Word,Match
a,seal,FrenchPrime,un,cil,Word,Match
the,top,FrenchPrime,un,cil,Word,NoMatch
they,call,FrenchPrime,je,colle,Word,Match
a,tart,FrenchPrime,je,colle,Word,NoMatch
the,tat,FrenchPrime,je,colle,Word,NoMatch
a,trade,NonFrenchPrime,je,colle,Word,NoMatch
a,bag,FrenchPrime,une,côte,Word,NoMatch
they,caught,FrenchPrime,une,côte,Word,Match
a,coat,FrenchPrime,une,côte,Word,Match
it's,loose,NonFrenchPrime,une,côte,Word,NoMatch
a,dam,FrenchPrime,une,dame,Word,Match
a,fleece,NonFrenchPrime,une,dame,Word,NoMatch
the,peak,FrenchPrime,une,dame,Word,NoMatch
they,pick,FrenchPrime,une,dame,Word,NoMatch
they,dig,FrenchPrime,la,digue,Word,Match
some,fruit,NonFrenchPrime,la,digue,Word,NoMatch
the,lace,FrenchPrime,la,digue,Word,NoMatch
it's,less,FrenchPrime,la,digue,Word,NoMatch
a,back,FrenchPrime,je,donne,Word,NoMatch
the,bark,FrenchPrime,je,donne,Word,NoMatch
the,dawn,FrenchPrime,je,donne,Word,Match
some,oats,NonFrenchPrime,je,donne,Word,NoMatch
the,farce,FrenchPrime,la,face,Word,Match
they,led,FrenchPrime,la,face,Word,NoMatch
a,peach,NonFrenchPrime,la,face,Word,NoMatch
a,bell,FrenchPrime,plus,fade,Word,NoMatch
a,fad,FrenchPrime,plus,fade,Word,Match
it's,Bill,FrenchPrime,un,fane,Word,NoMatch
the,fan,FrenchPrime,un,fane,Word,Match
some,oats,NonFrenchPrime,un,fane,Word,NoMatch
some,bread,NonFrenchPrime,la,femme,Word,NoMatch
a,farm,FrenchPrime,la,femme,Word,Match
the,pain,FrenchPrime,la,femme,Word,NoMatch
the,pen,FrenchPrime,la,femme,Word,NoMatch
some,fish,FrenchPrime,il,fiche,Word,Match
a,gate,FrenchPrime,il,fiche,Word,NoMatch
they,get,FrenchPrime,il,fiche,Word,NoMatch
it's,sad,NonFrenchPrime,il,fiche,Word,NoMatch
they,feel,FrenchPrime,je,file,Word,Match
they,fill,FrenchPrime,je,file,Word,Match
a,map,NonFrenchPrime,je,file,Word,NoMatch
the,rain,FrenchPrime,je,file,Word,NoMatch
a,force,FrenchPrime,la,fosse,Word,Match
the,pack,FrenchPrime,la,fosse,Word,NoMatch
the,pledge,NonFrenchPrime,la,fosse,Word,NoMatch
the,goose,FrenchPrime,une,gousse,Word,Match
the,meal,FrenchPrime,une,gousse,Word,NoMatch
the,mill,FrenchPrime,une,gousse,Word,NoMatch
a,seed,NonFrenchPrime,une,gousse,Word,NoMatch
a,gate,FrenchPrime,il,guette,Word,Match
they,get,FrenchPrime,il,guette,Word,Match
they,move,NonFrenchPrime,il,guette,Word,NoMatch
a,road,FrenchPrime,il,guette,Word,NoMatch
the,dawn,FrenchPrime,un,lac,Word,NoMatch
a,lack,FrenchPrime,un,lac,Word,Match
the,dawn,FrenchPrime,un,lache,Word,NoMatch
they,lash,FrenchPrime,un,lache,Word,Match
they,led,FrenchPrime,pas,laide,Word,Match
the,part,FrenchPrime,pas,laide,Word,NoMatch
they,pat,FrenchPrime,pas,laide,Word,NoMatch
a,peach,NonFrenchPrime,pas,laide,Word,NoMatch
the,fan,FrenchPrime,je,laisse,Word,NoMatch
the,lace,FrenchPrime,je,laisse,Word,Match
it's,less,FrenchPrime,je,laisse,Word,Match
the,nose,NonFrenchPrime,je,laisse,Word,NoMatch
they,cease,FrenchPrime,une,lame,Word,NoMatch
a,lamb,FrenchPrime,une,lame,Word,Match
the,bead,FrenchPrime,je,lègue,Word,NoMatch
they,bid,FrenchPrime,je,lègue,Word,NoMatch
the,leg,FrenchPrime,je,lègue,Word,Match
a,phase,NonFrenchPrime,je,lègue,Word,NoMatch
some,fruit,NonFrenchPrime,la,lice,Word,NoMatch
a,lease,FrenchPrime,la,lice,Word,Match
they,make,FrenchPrime,la,lice,Word,NoMatch
a,lot,FrenchPrime,une,lotte,Word,Match
the,pace,FrenchPrime,une,lotte,Word,NoMatch
a,room,NonFrenchPrime,une,lotte,Word,NoMatch
they,bet,FrenchPrime,une,loupe,Word,NoMatch
a,loop,FrenchPrime,une,loupe,Word,Match
a,trade,NonFrenchPrime,une,loupe,Word,NoMatch
the,base,FrenchPrime,la,manne,Word,NoMatch
the,man,FrenchPrime,la,manne,Word,Match
the,ghost,NonFrenchPrime,le,mec,Word,NoMatch
they,make,FrenchPrime,le,mec,Word,Match
the,seat,FrenchPrime,le,mec,Word,NoMatch
they,sit,FrenchPrime,le,mec,Word,NoMatch
a,mesh,FrenchPrime,la,mèche,Word,Match
some,slack,NonFrenchPrime,la,mèche,Word,NoMatch
the,soul,FrenchPrime,la,mèche,Word,NoMatch
a,leak,NonFrenchPrime,une,messe,Word,NoMatch
a,loop,FrenchPrime,une,messe,Word,NoMatch
a,mess,FrenchPrime,une,messe,Word,Match
the,farce,FrenchPrime,ils,mettent,Word,NoMatch
a,mate,FrenchPrime,ils,mettent,Word,Match
they,met,FrenchPrime,ils,mettent,Word,Match
some,slack,NonFrenchPrime,ils,mettent,Word,NoMatch
some,cash,FrenchPrime,un,mille,Word,NoMatch
the,last,NonFrenchPrime,un,mille,Word,NoMatch
the,meal,FrenchPrime,un,mille,Word,Match
the,mill,FrenchPrime,un,mille,Word,Match
it's,blue,NonFrenchPrime,la,mine,Word,NoMatch
it's,mean,FrenchPrime,la,mine,Word,Match
a,nap,FrenchPrime,la,mine,Word,NoMatch
a,lack,FrenchPrime,la,mite,Word,NoMatch
some,meat,FrenchPrime,la,mite,Word,Match
a,mitt,FrenchPrime,la,mite,Word,Match
it's,sad,NonFrenchPrime,la,mite,Word,NoMatch
a,fleece,NonFrenchPrime,la,mousse,Word,NoMatch
a,lot,FrenchPrime,la,mousse,Word,NoMatch
the,moose,FrenchPrime,la,mousse,Word,Match
a,boat,FrenchPrime,la,nappe,Word,NoMatch
they,bought,FrenchPrime,la,nappe,Word,NoMatch
a,leaf,NonFrenchPrime,la,nappe,Word,NoMatch
a,nap,FrenchPrime,la,nappe,Word,Match
the,boss,FrenchPrime,plus,net,Word,NoMatch
the,net,FrenchPrime,plus,net,Word,Match
the,stack,NonFrenchPrime,plus,net,Word,NoMatch
a,niece,FrenchPrime,de,Nice,Word,Match
a,pad,NonFrenchPrime,de,Nice,Word,NoMatch
a,pale,FrenchPrime,de,Nice,Word,NoMatch
the,kit,FrenchPrime,elles,paissent,Word,NoMatch
the,pace,FrenchPrime,elles,paissent,Word,Match
a,room,NonFrenchPrime,elles,paissent,Word,NoMatch
it's,blue,NonFrenchPrime,la,panne,Word,NoMatch
a,pan,FrenchPrime,la,panne,Word,Match
the,sheep,FrenchPrime,la,panne,Word,NoMatch
a,lease,FrenchPrime,la,paques,Word,NoMatch
the,pack,FrenchPrime,la,paques,Word,Match
the,tune,NonFrenchPrime,la,paques,Word,NoMatch
a,mate,FrenchPrime,qu'elle,passent,Word,NoMatch
they,met,FrenchPrime,qu'elle,passent,Word,NoMatch
they,pass,FrenchPrime,qu'elle,passent,Word,Match
the,part,FrenchPrime,une,pâte,Word,Match
they,pat,FrenchPrime,une,pâte,Word,Match
a,seed,NonFrenchPrime,une,pâte,Word,NoMatch
a,vein,FrenchPrime,une,pâte,Word,NoMatch
the,pain,FrenchPrime,une,peine,Word,Match
the,pen,FrenchPrime,une,peine,Word,Match
the,stack,NonFrenchPrime,une,peine,Word,NoMatch
a,toll,FrenchPrime,une,peine,Word,NoMatch
the,ghost,NonFrenchPrime,la,pelle,Word,NoMatch
a,pale,FrenchPrime,la,pelle,Word,Match
they,sort,FrenchPrime,la,pelle,Word,NoMatch
the,folk,FrenchPrime,un,phoque,Word,Match
a,niece,FrenchPrime,un,phoque,Word,NoMatch
a,plum,NonFrenchPrime,un,phoque,Word,NoMatch
a,mesh,FrenchPrime,la,pile,Word,NoMatch
a,pill,FrenchPrime,la,pile,Word,Match
the,stack,NonFrenchPrime,la,pile,Word,NoMatch
a,fleece,NonFrenchPrime,elle,pique,Word,NoMatch
the,moose,FrenchPrime,elle,pique,Word,NoMatch
the,peak,FrenchPrime,elle,pique,Word,Match
they,pick,FrenchPrime,elle,pique,Word,Match
it's,posh,FrenchPrime,la,poche,Word,Match
the,set,FrenchPrime,la,poche,Word,NoMatch
the,tune,NonFrenchPrime,la,poche,Word,NoMatch
a,dam,FrenchPrime,une,poule,Word,NoMatch
a,phase,NonFrenchPrime,une,poule,Word,NoMatch
the,pool,FrenchPrime,une,poule,Word,Match
the,kit,FrenchPrime,je,quitte,Word,Match
a,mess,FrenchPrime,je,quitte,Word,NoMatch
it's,sad,NonFrenchPrime,je,quitte,Word,NoMatch
they,feel,FrenchPrime,moins,raide ,Word,NoMatch
they,fill,FrenchPrime,moins,raide ,Word,NoMatch
the,last,NonFrenchPrime,moins,raide ,Word,NoMatch
it's,red,FrenchPrime,moins,raide ,Word,Match
a,leaf,NonFrenchPrime,ils,rament,Word,NoMatch
the,leg,FrenchPrime,ils,rament,Word,NoMatch
the,ram,FrenchPrime,ils,rament,Word,Match
a,map,NonFrenchPrime,les,rennes,Word,NoMatch
