prime_text,prime_audio,prime_lex,target_text,target_lex,similarity,target_audio
leak,prime_audio/leak.wav,NonFrenchPrime,meche,Word,NoMatch,target_audio/meche.wav
tree,prime_audio/tree.wav,FrenchPrime,gege,Nonword,NoMatch,target_audio/gege.wav
sash,prime_audio/sash.wav,FrenchPrime,velle,Nonword,NoMatch,target_audio/velle.wav
bot,prime_audio/bot.wav,FrenchPrime,botte,Word,Match,target_audio/botte.wav
pill,prime_audio/pill.wav,FrenchPrime,dambe,Nonword,NoMatch,target_audio/dambe.wav
pie,prime_audio/pie.wav,FrenchPrime,guge,Nonword,NoMatch,target_audio/guge.wav
farm,prime_audio/farm.wav,FrenchPrime,mousse,Word,NoMatch,target_audio/mousse.wav
soul,prime_audio/soul.wav,FrenchPrime,sol,Word,Match,target_audio/sol.wav
cat,prime_audio/cat.wav,NonFrenchPrime,catte,Nonword,Match,target_audio/catte.wav
disk,prime_audio/disk.wav,FrenchPrime,gueffe,Nonword,NoMatch,target_audio/gueffe.wav
last,prime_audio/last.wav,NonFrenchPrime,messe,Word,NoMatch,target_audio/messe.wav
vein,prime_audio/vein.wav,FrenchPrime,binque,Nonword,NoMatch,target_audio/binque.wav
coat,prime_audio/coat.wav,FrenchPrime,cote,Word,Match,target_audio/cote.wav
tie,prime_audio/tie.wav,FrenchPrime,bage,Nonword,NoMatch,target_audio/bage.wav
leaf,prime_audio/leaf.wav,NonFrenchPrime,ville,Word,NoMatch,target_audio/ville.wav
bell,prime_audio/bell.wav,FrenchPrime,lac,Word,NoMatch,target_audio/lac.wav
seal,prime_audio/seal.wav,FrenchPrime,cil,Word,Match,target_audio/cil.wav
guy,prime_audio/guy.wav,NonFrenchPrime,gaille,Nonword,Match,target_audio/gaille.wav
call,prime_audio/call.wav,FrenchPrime,lice,Word,NoMatch,target_audio/lice.wav
set,prime_audio/set.wav,FrenchPrime,sept,Word,Match,target_audio/sept.wav
eel,prime_audio/eel.wav,FrenchPrime,keppe,Nonword,NoMatch,target_audio/keppe.wav
